SKU,Source,Title,Description,Price,Rating,Reviews

B0CT4BB651,Amazon,Stanley IceFlow Flip Straw Tumbler with Handle 30 oz | Twist On Lid and Flip Up Straw | Leak Resistant Water Bottle | Insulated Stainless Steel |BPA-Free | Lilac,"STAY HYDRATED FOR THE WHOLE DAY: This large tumbler with lid and straw can hold 30 oz of thirst-quenching beverage to power you through your longest days; Perfect for drinking water, smoothies, or iced coffee; Just fill it up and get on with your day.","INR3,183.53","(3,102)",4.7 out of 5 stars
B01LR5S6HK,Amazon,Amazon Basics Neoprene Dumbbell Hand Weights for Exercise and Muscle Toning,10 pound dumbbell (set of 2) for exercise and strength training,"INR2,727.83","(123,572)",4.8 out of 5 stars
B07JW9H4J1,Amazon,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 14,13, 12,11,X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)","High Compatibility : Compatible With iPhone 14,13,12,11,X/XsMax/Xr, iPhone 8/8 Plus,iPhone 7/7 Plus,iPhone 6s/6s Plus,iPhone 6/6 Plus,iPhone 5/5s/5c/se,iPad Pro,iPad Air 1/2,iPad mini 1/2/3,iPod nano7,iPod touch and more apple devices.",,"(18,162)",4.1 out of 5 stars
B098NS6PVG,Amazon,"Ambrane Unbreakable 3A Fast Charging Braided Type C Cable – 1.5 Meter (RCT15 (A), Black) Supports QC 2.0/3.0 Charging","Compatible with all Type C enabled devices, be it an android smartphone",INR699.47,"(34,401)",4.0 out of 5 stars
B096MSW6CT,Amazon,,,,,
B08HDJ86NZ,Amazon,"Boat Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)","boAt Deuce USB 300 2 in 1 cable is compatible with smartphones, tablets, PC devices, Bluetooth speakers, power banks and all other devices with Type-C port as well as micro USB",,"(15,396)",4.0 out of 5 stars
B08CF3B7N1,Amazon,,,,,
B08Y1TFSP6,Amazon,,,,,
B08WRWPM22,Amazon,,,,,
